placar_casa,placar_visitante,data,round,stage,ano,equipe_casa,equipe_visitante,resultado,Pts_casa,3P_casa,2P_casa,LL_casa,RT_casa,RO_casa,RD_casa,AS_casa,ER_casa,IA%_casa,3PC_casa,3PT_casa,3P%_casa,2PC_casa,2PT_casa,2P%_casa,LLC_casa,LLT_casa,LL%_casa,EN_casa,BR_casa,B/E_casa,TO_casa,FC_casa,T/FC_casa,ET_casa,VI_casa,EF_casa,Pts_visitante,3P_visitante,2P_visitante,LL_visitante,RT_visitante,RO_visitante,RD_visitante,AS_visitante,ER_visitante,IA%_visitante,3PC_visitante,3PT_visitante,3P%_visitante,2PC_visitante,2PT_visitante,2P%_visitante,LLC_visitante,LLT_visitante,LL%_visitante,EN_visitante,BR_visitante,B/E_visitante,TO_visitante,FC_visitante,T/FC_visitante,ET_visitante,VI_visitante,EF_visitante
84,93,2009-02-13,5,1,2008-2009,Lajeado,Espírito Santo,0,68.25,11.25,41.0,16.0,32.25,12.0,20.25,11.0,19.0,0.5975,3.75,19.75,19.46,20.5,44.25,45.8775,16.0,24.5,65.52,0.5,9.75,0.5225,0.75,20.0,0.0325,19.0,0.0,54.75,72.5,15.75,44.5,12.25,29.25,8.25,21.0,10.0,12.75,0.87,5.25,21.25,24.855,22.25,38.5,58.095000000000006,12.25,20.75,59.7225,0.5,11.75,0.9225,1.0,21.5,0.0475,12.75,0.0,71.0
108,101,2009-02-13,5,1,2008-2009,Limeira,Flamengo,1,80.0,30.0,32.0,18.0,30.5,8.25,22.25,15.25,22.0,0.8425,10.0,28.5,35.447500000000005,16.0,31.5,51.475,18.0,22.0,81.9125,1.25,5.5,0.29500000000000004,4.5,22.25,0.19,22.0,0.0,75.75,94.5,35.25,46.0,13.25,31.25,11.5,19.75,15.0,14.25,1.2599999999999998,11.75,26.5,45.1225,23.0,42.0,54.455,13.25,19.0,69.36,1.5,7.25,0.6,1.0,19.5,0.0475,14.25,0.0,95.25
88,89,2009-02-13,5,1,2008-2009,Coop/São José Basketball,Minas,0,79.75,26.25,38.0,15.5,27.25,7.5,19.75,13.75,15.0,0.9525,8.75,28.75,30.46,19.0,35.0,54.1175,15.5,21.5,70.64,0.25,7.5,0.5075000000000001,3.0,23.0,0.135,15.0,0.0,74.25,81.75,22.5,44.0,15.25,35.0,10.25,24.75,19.25,14.25,1.3725,7.5,22.25,33.865,22.0,41.75,52.7325,15.25,23.0,66.82,0.75,5.5,0.39249999999999996,1.0,22.0,0.05,14.25,0.0,86.0
87,77,2009-02-13,5,1,2008-2009,Assis,Pinheiros,1,73.66666666666667,19.0,33.333333333333336,21.333333333333332,30.333333333333332,10.333333333333334,20.0,12.0,11.333333333333334,1.2933333333333332,6.333333333333333,21.666666666666668,29.150000000000002,16.666666666666668,32.666666666666664,50.883333333333326,21.333333333333332,30.333333333333332,71.07666666666667,1.3333333333333333,6.666666666666667,0.6466666666666666,3.6666666666666665,18.666666666666668,0.19666666666666668,11.333333333333334,0.0,74.66666666666667,83.25,27.75,36.0,19.5,34.5,9.25,25.25,15.75,14.0,1.155,9.25,23.75,38.692499999999995,18.0,33.75,53.69,19.5,26.0,75.215,2.5,5.0,0.35750000000000004,1.75,17.5,0.10250000000000001,14.0,0.0,89.5
88,72,2009-02-13,5,1,2008-2009,Bauru Basket,Paulistano,1,76.66666666666667,17.0,44.666666666666664,15.0,27.333333333333332,5.0,22.333333333333332,8.333333333333334,10.666666666666666,0.8266666666666667,5.666666666666667,16.666666666666668,34.276666666666664,22.333333333333332,42.0,53.04333333333333,15.0,19.333333333333332,78.46,1.0,4.0,0.3866666666666667,2.6666666666666665,21.333333333333332,0.12666666666666668,10.666666666666666,0.0,73.33333333333333,76.75,24.75,37.5,14.5,30.75,11.5,19.25,18.75,15.75,1.335,8.25,23.5,36.599999999999994,18.75,35.0,53.455,14.5,21.0,66.9975,1.25,6.25,0.4225,3.5,23.75,0.15000000000000002,15.75,0.0,82.25
70,57,2009-02-18,6,1,2008-2009,Minas,Bauru Basket,1,83.2,23.4,45.2,14.6,36.0,10.8,25.2,19.4,15.0,1.32,7.8,22.8,34.292,22.6,41.6,54.382000000000005,14.6,21.4,69.45599999999999,1.0,5.6,0.38,1.4,21.2,0.074,15.0,0.0,89.8,79.5,21.0,43.5,15.0,27.0,6.75,20.25,10.75,10.25,1.12,7.0,18.0,38.207499999999996,21.75,42.0,51.6875,15.0,19.75,76.7025,0.75,4.5,0.4575,2.75,19.5,0.1475,10.25,0.0,78.25
104,72,2009-02-18,6,1,2008-2009,Brasília,Saldanha,1,73.5,18.75,44.0,10.75,37.0,10.75,26.25,13.5,17.25,0.8225,6.25,20.25,30.695,22.0,40.25,54.114999999999995,10.75,16.0,73.89500000000001,2.25,7.75,0.475,3.25,20.5,0.1675,17.25,0.0,80.25,71.2,19.8,37.6,13.8,30.6,8.8,21.8,5.6,19.0,0.302,6.6,21.4,30.935999999999996,18.8,36.6,52.726,13.8,20.8,65.99,3.4,10.4,0.546,2.4,19.8,0.126,19.0,0.0,61.6
90,85,2009-02-18,6,1,2008-2009,Araraquara,Limeira,1,71.75,22.5,35.5,13.75,30.0,7.25,22.75,11.5,15.75,0.8574999999999999,7.5,28.5,25.455,17.75,34.25,51.91,13.75,21.5,61.55500000000001,0.5,9.0,0.5525,4.75,21.5,0.235,15.75,0.0,66.0,85.6,32.4,33.2,20.0,30.2,8.6,21.6,16.4,20.0,1.024,10.8,28.2,38.728,16.6,31.6,53.056000000000004,20.0,24.6,81.53,2.2,5.8,0.35200000000000004,4.6,22.6,0.194,20.0,0.0,85.6
91,84,2009-02-18,6,1,2008-2009,Sesi Franca,Coop/São José Basketball,1,77.75,19.5,42.5,15.75,31.0,8.0,23.0,13.0,12.0,1.085,6.5,23.0,28.295,21.25,43.5,50.105000000000004,15.75,22.75,69.4175,1.0,10.75,0.895,2.5,13.5,0.1925,12.0,0.0,77.25,81.4,28.2,37.2,16.0,26.6,7.2,19.4,13.8,14.4,0.9960000000000001,9.4,27.6,34.802,18.6,36.0,51.794000000000004,16.0,21.6,72.876,0.2,7.2,0.506,2.4,21.6,0.10800000000000001,14.4,0.0,75.8
67,48,2009-02-18,6,1,2008-2009,Joinville,Paulistano,1,87.6,31.2,42.0,14.4,35.4,8.2,27.2,19.4,16.8,1.1640000000000001,10.4,25.8,39.954,21.0,37.6,55.516,14.4,19.4,73.632,0.8,8.2,0.508,3.0,21.0,0.166,16.8,0.0,99.8,75.8,24.6,38.4,12.8,29.8,11.4,18.4,17.8,15.4,1.268,8.2,23.2,36.552,19.2,34.6,55.492,12.8,18.6,66.932,1.4,6.2,0.42400000000000004,3.2,23.4,0.138,15.4,0.0,81.2
