placar_casa,placar_visitante,data,round,stage,ano,equipe_casa,equipe_visitante,resultado,Pts_casa,3P_casa,2P_casa,LL_casa,RT_casa,RO_casa,RD_casa,AS_casa,ER_casa,IA%_casa,3PC_casa,3PT_casa,3P%_casa,2PC_casa,2PT_casa,2P%_casa,LLC_casa,LLT_casa,LL%_casa,EN_casa,BR_casa,B/E_casa,TO_casa,FC_casa,T/FC_casa,ET_casa,VI_casa,EF_casa,Pts_visitante,3P_visitante,2P_visitante,LL_visitante,RT_visitante,RO_visitante,RD_visitante,AS_visitante,ER_visitante,IA%_visitante,3PC_visitante,3PT_visitante,3P%_visitante,2PC_visitante,2PT_visitante,2P%_visitante,LLC_visitante,LLT_visitante,LL%_visitante,EN_visitante,BR_visitante,B/E_visitante,TO_visitante,FC_visitante,T/FC_visitante,ET_visitante,VI_visitante,EF_visitante
91,61,2024-10-24,3,1,2024-2025,Minas,Mogi Basquete,1,80.75,22.125,42.25,16.375,43.0,10.75,32.25,16.5,16.375,1.0475,7.375,22.875,32.2675,21.125,40.25,52.6225,16.375,22.5,73.795,1.5,6.75,0.44000000000000006,4.0,19.75,0.20500000000000002,16.375,3.375,93.875,68.49749999999999,23.25,36.0,9.247499999999999,35.0025,10.497499999999999,24.4975,15.75,14.5,1.09,7.7475000000000005,24.7475,31.237499999999997,18.0,39.7525,45.255,9.247499999999999,14.497499999999999,63.042500000000004,1.4975,8.997499999999999,0.6325000000000001,1.2475,20.7525,0.06,14.5,2.5,71.0
90,100,2024-10-24,3,1,2024-2025,Paulistano,Sesi Franca,0,73.5,28.5,31.0,14.0,36.5,11.0,25.5,18.5,17.5,1.065,9.5,26.0,35.715,15.5,30.0,51.349999999999994,14.0,21.0,67.36,3.0,9.5,0.545,2.0,20.5,0.085,17.5,2.0,84.5,81.33333333333333,25.0,46.666666666666664,9.666666666666666,32.833333333333336,7.333333333333333,25.5,15.666666666666666,10.0,1.5666666666666667,8.333333333333334,23.666666666666668,35.04,23.333333333333332,40.666666666666664,57.379999999999995,9.666666666666666,13.833333333333334,70.39333333333333,3.0,7.5,0.75,3.1666666666666665,16.5,0.19666666666666666,10.0,1.1666666666666667,93.66666666666667
70,83,2024-10-24,3,1,2024-2025,Flamengo,Corinthians,0,81.33333333333333,35.0,34.0,12.333333333333334,45.0,12.333333333333334,32.666666666666664,19.666666666666668,15.0,1.3266666666666667,11.666666666666666,31.0,37.63666666666666,17.0,31.333333333333332,53.79333333333333,12.333333333333334,17.666666666666668,71.62666666666667,2.6666666666666665,10.0,0.6733333333333333,3.0,20.0,0.1466666666666667,15.0,4.666666666666667,105.0,81.33333333333333,33.5,30.0,17.833333333333332,42.333333333333336,14.333333333333334,28.0,19.5,9.166666666666666,2.1366666666666667,11.166666666666666,34.333333333333336,32.43,15.0,35.666666666666664,41.38,17.833333333333332,19.833333333333332,86.39666666666666,0.8333333333333334,5.0,0.5499999999999999,1.5,21.333333333333332,0.07333333333333335,9.166666666666666,0.8333333333333334,94.66666666666667
85,77,2024-10-25,3,1,2024-2025,Pato Basquete,UNIFACISA,1,81.0,32.625,35.25,13.125,36.375,8.625,27.75,16.375,11.125,1.4675000000000002,10.875,28.5,38.2875,17.625,33.75,51.545,13.125,17.25,76.5175,0.25,4.625,0.4075,3.375,21.125,0.165,11.125,1.75,92.75,73.0,21.0,38.0,14.0,32.5,10.5,22.0,13.5,13.5,1.0,7.0,30.0,23.33,19.0,31.5,60.32,14.0,19.5,71.79,3.0,9.0,0.67,4.0,19.5,0.21,13.5,2.0,77.5
86,80,2024-10-26,3,1,2024-2025,Brasília Basquete,Mogi Basquete,1,78.625,39.0,24.75,14.875,35.375,10.0,25.375,16.625,12.75,1.3025000000000002,13.0,35.875,36.199999999999996,12.375,27.75,45.17,14.875,20.25,73.3925,1.0,5.625,0.44000000000000006,1.375,21.0,0.07,12.75,2.75,81.25,68.898,25.5,34.0,9.398,33.402,10.297999999999998,23.098,16.1,14.7,1.098,8.498000000000001,25.698,32.785999999999994,17.0,38.102,44.458000000000006,9.398,14.597999999999999,63.76800000000001,1.3980000000000001,9.197999999999999,0.636,1.298,21.102,0.062,14.7,2.5,70.7
66,61,2024-10-26,3,1,2024-2025,Flamengo,Pinheiros,1,78.0,31.5,33.75,12.75,42.375,11.5,30.875,18.5,13.875,1.3525,10.5,30.875,33.964999999999996,16.875,31.0,54.095,12.75,18.0,72.14,2.75,9.5,0.6950000000000001,2.25,19.625,0.11000000000000001,13.875,3.75,97.0,66.83500000000001,18.0,34.5,14.335,39.5,14.0,25.5,14.835,14.165,1.2425,6.0,21.25,27.5,17.25,38.915,44.207499999999996,14.335,20.665,68.0725,1.585,8.665,0.61,1.0,21.0,0.052500000000000005,14.165,2.75,73.41499999999999
78,68,2024-10-26,3,1,2024-2025,São Paulo,Bauru Basket,1,83.33333333333333,26.0,38.333333333333336,19.0,39.0,10.666666666666666,28.333333333333332,16.333333333333332,13.333333333333334,1.2266666666666668,8.666666666666666,25.166666666666668,34.49333333333333,19.166666666666668,36.333333333333336,52.80666666666667,19.0,23.166666666666668,81.99666666666666,0.5,5.666666666666667,0.4266666666666667,0.3333333333333333,19.333333333333332,0.013333333333333334,13.333333333333334,2.8333333333333335,93.5,87.0,21.0,42.0,24.0,46.5,16.0,30.5,18.0,10.0,1.8,7.0,31.5,22.22,21.0,42.5,49.41,24.0,31.0,77.42,1.0,7.5,0.75,2.0,26.0,0.08,10.0,1.5,98.0
52,77,2024-10-27,4,1,2024-2025,Fortaleza Basquete Cearense,Botafogo,0,68.66666666666667,21.0,35.333333333333336,12.333333333333334,36.333333333333336,9.666666666666666,26.666666666666668,11.666666666666666,15.333333333333334,0.7599999999999999,7.0,26.0,26.94333333333333,17.666666666666668,33.666666666666664,52.07333333333333,12.333333333333334,18.666666666666668,66.17999999999999,1.0,7.0,0.4533333333333333,1.3333333333333333,17.666666666666668,0.07333333333333333,15.333333333333334,3.0,68.33333333333333,69.5,21.75,35.5,12.25,47.25,15.25,32.0,15.0,13.5,1.1324999999999998,7.25,25.25,28.2675,17.75,42.25,42.45,12.25,19.25,67.3175,0.75,7.5,0.565,2.5,18.75,0.135,13.5,1.5,78.75
79,83,2024-10-28,4,1,2024-2025,Paulistano,Bauru Basket,0,79.0,31.0,35.333333333333336,12.666666666666666,36.666666666666664,11.666666666666666,25.0,18.333333333333332,15.666666666666666,1.21,10.333333333333334,26.0,39.193333333333335,17.666666666666668,34.0,51.69333333333333,12.666666666666666,18.0,72.68333333333334,2.6666666666666665,8.0,0.5033333333333333,2.3333333333333335,20.0,0.11,15.666666666666666,1.3333333333333333,91.33333333333333,80.66666666666667,24.0,38.0,18.666666666666668,44.333333333333336,16.0,28.333333333333332,17.0,11.0,1.5833333333333333,8.0,33.666666666666664,23.586666666666662,19.0,38.666666666666664,49.06999999999999,18.666666666666668,25.0,72.12666666666667,0.6666666666666666,6.666666666666667,0.6266666666666666,2.6666666666666665,25.666666666666668,0.10666666666666667,11.0,2.0,88.66666666666667
93,70,2024-10-28,4,1,2024-2025,Sesi Franca,Pato Basquete,1,81.75,26.25,46.5,9.0,31.75,7.25,24.5,16.25,10.25,1.585,8.75,24.25,35.895,23.25,40.5,57.41,9.0,12.75,71.215,2.75,7.75,0.755,3.5,16.25,0.21999999999999997,10.25,1.25,94.25,82.2,33.0,35.6,13.6,37.4,8.8,28.6,16.4,11.4,1.4380000000000002,11.0,28.6,38.562,17.8,34.2,51.513999999999996,13.6,17.8,76.714,0.4,5.0,0.43,3.2,20.6,0.16,11.4,1.6,94.6
